item,intervention,baseline,patched,delta,frac_of_baseline
ops_4+5,necessity_resid_tstar_L5-8_Cswap,2.1138954162597656,-0.8576202392578125,-2.971515655517578,-1.4057060877568146
ops_4+5,necessity_resid_tstar_L9-11_Cswap,2.1138954162597656,-1.8963546752929688,-4.010250091552734,-1.8970901117938446
ops_4+5,necessity_resid_tstar_L5-11_Cswap,2.1138954162597656,-1.8963546752929688,-4.010250091552734,-1.8970901117938446
ops_4+5,necessity_resid_tstar_L0-11_Cswap,2.1138954162597656,-1.8963546752929688,-4.010250091552734,-1.8970901117938446
ops_4+5,sufficiency_resid_tstar_L5-11_Wpatch,-1.8963546752929688,2.1138954162597656,4.010250091552734,-2.114715218519547
ops_4+5,ablate_writes_tstar_L5-11,2.1138954162597656,0.8679656982421875,-1.2459297180175781,-0.5893998863113445
ops_4+5,ablate_writes_tstar_L9-11,2.1138954162597656,5.683811187744141,3.569915771484375,1.6887854261971145
ops_4+5,ref_E4_necessity_Wwin_L5-11_Cswap,2.1138954162597656,-1.4994640350341797,-3.6133594512939453,-1.7093369064053632
ops_4+5,necessity_resid_tstar_L0_Cswap,2.1138954162597656,2.1187992095947266,0.0049037933349609375,0.002319789946674607
ops_4+5,necessity_resid_tstar_L1_Cswap,2.1138954162597656,2.1147918701171875,0.000896453857421875,0.00042407673081955083
ops_4+5,necessity_resid_tstar_L2_Cswap,2.1138954162597656,2.1084108352661133,-0.005484580993652344,-0.0025945375307906775
ops_4+5,necessity_resid_tstar_L3_Cswap,2.1138954162597656,2.0956382751464844,-0.01825714111328125,-0.00863672865405264
ops_4+5,necessity_resid_tstar_L4_Cswap,2.1138954162597656,2.129977226257324,0.016081809997558594,0.0076076658636277505
ops_4+5,necessity_resid_tstar_L5_Cswap,2.1138954162597656,1.4636802673339844,-0.6502151489257812,-0.30759097348166997
ops_4+5,necessity_resid_tstar_L6_Cswap,2.1138954162597656,0.7270622253417969,-1.3868331909179688,-0.6560557254870115
ops_4+5,necessity_resid_tstar_L7_Cswap,2.1138954162597656,-0.6628303527832031,-2.7767257690429688,-1.3135587256043093
ops_4+5,necessity_resid_tstar_L8_Cswap,2.1138954162597656,-0.8576202392578125,-2.971515655517578,-1.4057060877568146
ops_4+5,necessity_resid_tstar_L9_Cswap,2.1138954162597656,-2.251664161682129,-4.3655595779418945,-2.0651729240541736
ops_4+5,necessity_resid_tstar_L10_Cswap,2.1138954162597656,-1.8136873245239258,-3.9275827407836914,-1.8579834700304072
ops_4+5,necessity_resid_tstar_L11_Cswap,2.1138954162597656,-1.8963546752929688,-4.010250091552734,-1.8970901117938446
ops_16+10,necessity_resid_tstar_L0-4_Cswap,4.489053726196289,4.491308212280273,0.002254486083984375,0.000502218556848209
ops_16+10,necessity_resid_tstar_L5-8_Cswap,4.489053726196289,0.9532566070556641,-3.535797119140625,-0.7876486526563835
ops_16+10,necessity_resid_tstar_L9-11_Cswap,4.489053726196289,-2.9754209518432617,-7.464474678039551,-1.662816961730691
ops_16+10,necessity_resid_tstar_L5-11_Cswap,4.489053726196289,-2.9754209518432617,-7.464474678039551,-1.662816961730691
ops_16+10,necessity_resid_tstar_L0-11_Cswap,4.489053726196289,-2.9754209518432617,-7.464474678039551,-1.662816961730691
ops_16+10,sufficiency_resid_tstar_L5-11_Wpatch,-2.9754209518432617,4.489053726196289,7.464474678039551,-2.508712144886705
ops_16+10,ablate_writes_tstar_L5-11,4.489053726196289,1.9299488067626953,-2.5591049194335938,-0.5700766966765624
